,name,ticker,index,industry
304,"Beijing Teamsun Technology Co.,Ltd.",600410.SS,Shanghai,Technology
305,"Zhejiang China Commodities City Group Co., Ltd.",600415.SS,Shanghai,Real Estate
306,Xiangtan Electric Manufacturing Co. Ltd.,600416.SS,Shanghai,Industrials
307,"Anhui Jianghuai Automobile Group Corp.,Ltd.",600418.SS,Shanghai,Consumer Cyclical
308,"Xinjiang Tianrun Dairy Co., Ltd.",600419.SS,Shanghai,Basic Materials
309,"Shanghai Shyndec Pharmaceutical Co., Ltd.",600420.SS,Shanghai,Healthcare
310,"Hubei Huarong Holding Co.,Ltd.",600421.SS,Shanghai,Consumer Cyclical
311,"KPC Pharmaceuticals, Inc.",600422.SS,Shanghai,Healthcare
312,"Liuzhou Chemical Industry Co., Ltd.",600423.SS,Shanghai,Basic Materials
313,"Xinjiang Qingsong Building Materials and Chemicals (Group) Co, Ltd.",600425.SS,Shanghai,Basic Materials
314,"Shandong Hualu-Hengsheng Chemical Co., Ltd.",600426.SS,Shanghai,Basic Materials
315,"COSCO SHIPPING Specialized Carriers Co.,Ltd.",600428.SS,Shanghai,Industrials
316,"Beijing Sanyuan Foods Co., Ltd.",600429.SS,Shanghai,Consumer Defensive
317,"Guangdong Guanhao High-Tech Co., Ltd.",600433.SS,Shanghai,Basic Materials
318,"North Navigation Control Technology Co.,Ltd.",600435.SS,Shanghai,Industrials
319,"Zhangzhou Pientzehuang Pharmaceutical., Ltd",600436.SS,Shanghai,Healthcare
320,"Tongwei Co.,Ltd",600438.SS,Shanghai,Consumer Defensive
321,"Henan Rebecca Hair Products Co., Ltd.",600439.SS,Shanghai,Consumer Defensive
322,"Sinomach General Machinery Science & Technology Co., Ltd.",600444.SS,Shanghai,Industrials
323,"Shenzhen Kingdom Sci-Tech Co., Ltd",600446.SS,Shanghai,Technology
324,"Huafang Co.,Ltd",600448.SS,Shanghai,Consumer Cyclical
325,"Ningxia Building Materials Group Co.,Ltd",600449.SS,Shanghai,Basic Materials
326,"Chongqing Fuling Electric Power Industrial Co., Ltd.",600452.SS,Shanghai,Utilities
327,"But'one Information Corporation,Xi'an",600455.SS,Shanghai,Technology
328,"Baoji Titanium Industry Co., Ltd.",600456.SS,Shanghai,Basic Materials
